strategy,period,eligible_sessions,signal_sessions,max_no_signal_sessions,completed_baskets,trades,avg_net_return,avg_excess_return,win_rate,profit_factor,worst_trade,status
momentum_breadth60,2021-2023,685,295,53,286,858,-0.0054332700262734865,-0.0024765424080511896,0.40792540792540793,0.8503865428881829,-0.12998412698412698,exploratory_only
momentum_breadth60,2024-2025,499,248,34,241,723,0.010810903009422489,0.0011329973565329576,0.5089903181189488,1.389432973094974,-0.1332729196239655,exploratory_only
momentum_breadth60,2026_seen,161,51,40,42,126,0.024029964647113124,0.02481515173274485,0.6190476190476191,1.6203585580283932,-0.1991344625136385,exploratory_only
reversion_weak,2021-2023,685,293,64,282,846,-0.008691888787677418,-0.006559631321728926,0.4314420803782506,0.8030892378568901,-0.2525690129479514,exploratory_only
reversion_weak,2024-2025,499,199,63,190,570,0.012095895768407494,0.00137713369985558,0.5052631578947369,1.4519970422096886,-0.14669777351460037,exploratory_only
reversion_weak,2026_seen,161,92,26,83,249,-0.015944265613924872,-0.020374931933361283,0.3654618473895582,0.6375895218622981,-0.20661445783132532,exploratory_only
regime_switch,2021-2023,685,685,0,659,1977,-0.005015409087603257,-0.004463126402174578,0.4324734446130501,0.8707421869091797,-0.2525690129479514,exploratory_only
regime_switch,2024-2025,499,499,0,479,1437,0.01050105803062445,0.0017371067865702373,0.5010438413361169,1.3803127857552755,-0.14669777351460037,exploratory_only
regime_switch,2026_seen,161,161,0,141,423,-0.008543009322891688,-0.008675920055322719,0.41134751773049644,0.8092824885699611,-0.20661445783132532,exploratory_only
