strategy,period,sessions,total_return,annualized_return,max_drawdown,invested_session_fraction,position_changes
rotation_10bps_side,2016-2023,2011,0.7231667055814288,0.07056825210661222,-0.3490439365902923,0.9104922923918448,34
rotation_10bps_side,2024-2025,502,0.5055621403957504,0.22801401709836178,-0.15883070307441205,1.0,8
rotation_10bps_side,2026,174,0.12094409337133083,0.1798077430185525,-0.21446098690291504,1.0,2
rotation_30bps_side,2016-2023,2011,0.524885272482164,0.05429365939937836,-0.37711995388261177,0.9104922923918448,34
rotation_30bps_side,2024-2025,502,0.45805332163969603,0.20840620082877725,-0.16554659202520616,1.0,8
rotation_30bps_side,2026,174,0.11199448467942652,0.1661900478298588,-0.21446098690291526,1.0,2
SPY_buy_hold_10bps_side,2016-2023,2011,1.7337673636115722,0.13430784499331794,-0.32048956776605386,1.0,1
SPY_buy_hold_10bps_side,2024-2025,502,0.4777369832745877,0.21656807106282017,-0.19766219511859529,1.0,0
SPY_buy_hold_10bps_side,2026,174,0.11881693233910129,0.176566630371781,-0.08086224685707111,1.0,0
